Epoch,Train_Loss,Train_Accuracy
1,5.141041468048096,0.01995
2,4.8233224990844725,0.04603
3,4.611901924285888,0.0717
4,4.466669156951904,0.09246
5,4.363609898529052,0.10864
6,4.28852373840332,0.12121
7,4.2331655909729005,0.13227
8,4.183536950683593,0.14326
9,4.147891021881104,0.15021
10,4.123373326721191,0.15722
11,4.094761541595459,0.16471
12,4.077858966064453,0.16867
13,4.065079247436524,0.17358
14,4.054269149017334,0.17792
15,4.048361540298462,0.18198
16,4.044013234710693,0.18586
17,4.041819916152954,0.18791
18,4.040149415512085,0.19148
19,4.039259869689942,0.19587
20,4.044167433624268,0.19653
21,4.044204457702636,0.19851
22,4.04934319984436,0.20093
23,4.0528743132019045,0.20249
24,4.058930583496093,0.20303
25,4.068187755889893,0.20565
26,4.07318848526001,0.20577
27,4.0782147247314455,0.20915
28,4.0859105084228515,0.2086
29,4.096902263641358,0.20958
30,4.107848456420898,0.21082
31,4.114659561309814,0.21396
32,4.120239571685791,0.21415
33,4.13147043334961,0.21303
34,4.142667416534424,0.21395
35,4.151314607696533,0.2156
36,4.161398715362549,0.21726
37,4.171390454101562,0.21607
38,4.179662704162598,0.21899
39,4.190505999984741,0.21719
40,4.200877829742431,0.21982
41,4.209069903717041,0.22054
42,4.222178965606689,0.2202
43,4.232724835205078,0.22115
44,4.245532899932861,0.22289
45,4.254782924194336,0.22107
46,4.26776001449585,0.22194
47,4.2787731640625,0.22395
48,4.28951076171875,0.22282
49,4.297200251464844,0.22433
50,4.307307401733398,0.22597
51,4.321207278442383,0.22418
52,4.3302565408325195,0.22539
53,4.33892839263916,0.22624
54,4.350673066711426,0.22658
55,4.363021362762451,0.22749
56,4.372029810180664,0.22599
57,4.383901469573974,0.22693
58,4.393387276763916,0.22772
59,4.404214637756348,0.22852
60,4.417566655731201,0.22765
61,4.426947591552734,0.22812
62,4.437141868286133,0.22764
63,4.448508052368164,0.22936
64,4.459016790771484,0.22922
65,4.472431392364502,0.22895
66,4.481677012329102,0.22906
67,4.493723095550537,0.23003
68,4.501802515106201,0.23269
69,4.514371958312989,0.23125
70,4.524747789154053,0.22717
71,4.53525903213501,0.23056
72,4.543714941253662,0.2309
73,4.555182242736817,0.23205
74,4.564258540802002,0.2321
75,4.574274096221924,0.2326
76,4.586854157714844,0.23027
77,4.596308365783692,0.23317
78,4.606372491302491,0.23334
79,4.616351818084717,0.23391
80,4.625658892669677,0.23295
81,4.637819463500977,0.23269
82,4.645311566925049,0.23261
83,4.6572807870483395,0.23267
84,4.66616741973877,0.23369
85,4.675660253295899,0.23325
86,4.686541483001709,0.23353
87,4.697211439208984,0.23444
88,4.704825374450683,0.23441
89,4.715743818359375,0.23507
90,4.7251906086730955,0.23466
91,4.7346283015441895,0.23421
92,4.743669974365234,0.23502
93,4.754843301696777,0.23425
94,4.764535069580078,0.23453
95,4.773339871978759,0.23527
96,4.780870047454834,0.23564
97,4.791989861450196,0.23535
98,4.800670646820068,0.23527
99,4.8091115805053715,0.2363
100,4.819102120666504,0.23447
101,4.684259613342285,0.32038
102,4.651271812286377,0.34815
103,4.643904644012451,0.36015
104,4.643274329528809,0.36826
105,4.645676793823243,0.37593
106,4.618675317077637,0.40476
107,4.62325173324585,0.41243
108,4.633263742828369,0.41448
109,4.645008496398926,0.41701
110,4.656238797454834,0.41797
