Epoch,Train_Loss,Train_Accuracy
1,4.307984465866089,0.0505
2,3.956664981536865,0.09912
3,3.794848251647949,0.128
4,3.664115227050781,0.15498
5,3.564780683746338,0.1765
6,3.476141342391968,0.1974
7,3.411100652770996,0.2156
8,3.3652621235656737,0.22594
9,3.328853901138306,0.23988
10,3.305222924041748,0.24932
11,3.293873353881836,0.25396
12,3.2786543392944334,0.262
13,3.27035756729126,0.26942
14,3.2660682459259034,0.2754
15,3.2645136083984374,0.27822
16,3.2632496381378173,0.28532
17,3.2662913681030274,0.28934
18,3.2731225046539305,0.29368
19,3.2736814753723142,0.29804
20,3.2829527198028563,0.30026
21,3.2857092904663086,0.30718
22,3.3039192984008787,0.30442
23,3.3069741246795656,0.30816
24,3.3200661976623533,0.3126
25,3.3309385803985596,0.31728
26,3.34198117477417,0.31654
27,3.3498403160858152,0.32042
28,3.3656000648498536,0.32152
29,3.3775798944091795,0.32668
30,3.392129898376465,0.3254
31,3.4017473471832274,0.32868
32,3.41726383102417,0.32918
33,3.4343217027282713,0.3306
34,3.4475140802001953,0.33232
35,3.4637495462036134,0.33248
36,3.4784854709625246,0.33228
37,3.488280226898193,0.33804
38,3.505191004333496,0.33784
39,3.516076242980957,0.34116
40,3.5364248265838625,0.34106
41,3.550255400085449,0.34234
42,3.566227812957764,0.3442
43,3.5818214598083498,0.34204
44,3.598964577026367,0.34286
45,3.6135458903503417,0.3454
46,3.6279025358581545,0.34518
47,3.6401920441436766,0.34942
48,3.6608004906463623,0.34634
49,3.6712722439575196,0.3499
50,3.689762145690918,0.34696
51,3.704487054595947,0.34726
52,3.7202330502319336,0.34946
53,3.7330851430511474,0.35436
54,3.7491629734802245,0.35244
55,3.76439184677124,0.35302
56,3.779115545654297,0.35476
57,3.7956575286865233,0.3524
58,3.8094030278778077,0.35558
59,3.826134169082642,0.35616
60,3.84003752204895,0.35594
61,3.854154059906006,0.35762
62,3.8690576300048827,0.35756
63,3.8836987078857423,0.35762
64,3.8971499890899657,0.35996
65,3.9122131522369386,0.35708
66,3.9235073909759524,0.36142
67,3.9425407217407225,0.35972
68,3.9530312384796145,0.36046
69,3.966649290008545,0.3622
70,3.982282727508545,0.3612
71,3.9953832771301268,0.36314
72,4.009927640533447,0.35878
73,4.023963179016113,0.36336
74,4.037420818023682,0.36168
75,4.0507950994873045,0.36322
76,4.063451082000732,0.364
77,4.0761658229064945,0.3644
78,4.092636510925293,0.36558
79,4.103438408203125,0.36412
80,4.117389765625,0.3659
81,4.128977672424316,0.36644
82,4.142248895568848,0.3664
83,4.155177125701904,0.36668
84,4.167101253967285,0.36536
85,4.1783367408752445,0.36894
86,4.19158883178711,0.36872
87,4.204732306671143,0.37066
88,4.216543560791016,0.37052
89,4.226620751342773,0.37218
90,4.239606869049072,0.3714
91,4.2517102290344235,0.36922
92,4.262755502471924,0.37222
93,4.273484132537842,0.37244
94,4.285813778533935,0.37348
95,4.296167235107422,0.37422
96,4.30747926864624,0.37448
97,4.31869740737915,0.3722
98,4.329087272186279,0.37538
99,4.338323506774902,0.37716
100,4.350256710205078,0.3734
101,4.303584629974365,0.46384
102,4.2931154907226565,0.50402
103,4.297729943237305,0.51754
104,4.304164255981445,0.531
105,4.311339192657471,0.54456
106,4.314209365234375,0.56736
107,4.325442133483887,0.57314
108,4.338071173400879,0.57736
109,4.350665790405273,0.57834
110,4.363982956695557,0.58016
