Epoch,Train_Loss,Train_Accuracy
1,5.131422598724365,0.0196
2,4.842058383636474,0.04496
3,4.6422043405151365,0.068
4,4.4939195758056645,0.08947
5,4.38419322845459,0.10642
6,4.307536570281982,0.11877
7,4.247622794723511,0.13003
8,4.199428951263427,0.13984
9,4.164181106414795,0.14773
10,4.130372422637939,0.15604
11,4.105871241760254,0.16238
12,4.088190852661133,0.16693
13,4.06938511932373,0.17205
14,4.060425606079102,0.17517
15,4.052298650970459,0.18095
16,4.052360768585205,0.18225
17,4.04572315246582,0.18734
18,4.043693981323242,0.18939
19,4.046714342346191,0.19157
20,4.044189236145019,0.19525
21,4.048561493072509,0.19686
22,4.049229449310303,0.19848
23,4.0553050958251955,0.20105
24,4.064620406799317,0.2009
25,4.067848099212647,0.20454
26,4.075941441497803,0.20697
27,4.083415123901367,0.20748
28,4.089896093444824,0.2086
29,4.096663462677002,0.21001
30,4.109461799926758,0.20922
31,4.112253659667969,0.21097
32,4.124178537445069,0.21372
33,4.134101247558593,0.21255
34,4.141270986328125,0.21396
35,4.147810899963379,0.21649
36,4.161996463775635,0.21541
37,4.167049093780518,0.21875
38,4.181131741485595,0.21857
39,4.19129994934082,0.21899
40,4.20146797164917,0.22101
41,4.21345485824585,0.21923
42,4.2231468275451665,0.21994
43,4.232281692199707,0.22038
44,4.246383687133789,0.22167
45,4.255979177246093,0.2219
46,4.264684052734375,0.22354
47,4.274819451599121,0.22328
48,4.288008867950439,0.22225
49,4.297488318634033,0.22411
50,4.308480662384033,0.22428
51,4.317580613708496,0.22509
52,4.330854748229981,0.22544
53,4.3427853526306155,0.2247
54,4.353778532562256,0.2255
55,4.363246043395996,0.22607
56,4.373789328460694,0.22675
57,4.383423268585205,0.22617
58,4.394176143188477,0.22787
59,4.405994612579346,0.22817
60,4.418650274658203,0.22678
61,4.4293257975769045,0.2281
62,4.438483397521972,0.23014
63,4.449535422058106,0.22962
64,4.458192703857422,0.22974
65,4.469903343200683,0.2279
66,4.480256214447022,0.22963
67,4.493094256286621,0.23034
68,4.503543836669922,0.22973
69,4.5123337182617185,0.2306
70,4.52407099395752,0.22891
71,4.533766783447265,0.2307
72,4.5448244396972655,0.23044
73,4.555292828216553,0.23133
74,4.565449210968017,0.22951
75,4.575239006958008,0.2327
76,4.587626409454345,0.2324
77,4.599656971435547,0.23059
78,4.60823534942627,0.23152
79,4.6195994844055175,0.23227
80,4.62803891998291,0.23234
81,4.6378465060424805,0.23356
82,4.649003236236572,0.23257
83,4.657453323059082,0.23421
84,4.666231847839356,0.2335
85,4.67750323852539,0.23356
86,4.687752877349854,0.23284
87,4.697276054382324,0.23318
88,4.7068592889404295,0.23425
89,4.7167639053344725,0.23381
90,4.724100976257324,0.23519
91,4.73382168334961,0.23271
92,4.742913297271729,0.23456
93,4.7536656591796875,0.23365
94,4.762697046661377,0.23511
95,4.773256907348633,0.23417
96,4.781493488464355,0.2352
97,4.790566637268066,0.23597
98,4.802085180664062,0.23432
99,4.809164570617676,0.23661
100,4.819486902618408,0.23493
101,4.688079041595459,0.31857
102,4.652058201141357,0.34775
103,4.644886615600586,0.3605
104,4.644937451782226,0.3676
105,4.646529498596191,0.37604
106,4.620526593933105,0.40393
107,4.62597585144043,0.41123
108,4.636103199157715,0.41275
109,4.647115182800293,0.41444
110,4.657701907653808,0.41721
