Epoch,Train_Loss,Train_Accuracy
1,2.255121944961548,0.21294
2,2.0255622579193115,0.2869
3,1.9684232212829589,0.3114
4,1.9165494201660156,0.3367
5,1.871465983390808,0.36582
6,1.8263199924468994,0.39328
7,1.7866189213943482,0.41302
8,1.753721870574951,0.43136
9,1.7298210983657838,0.4489
10,1.7135380681610108,0.4632
11,1.698453320426941,0.4736
12,1.691098620071411,0.48382
13,1.6813152565765381,0.49194
14,1.672706598854065,0.49982
15,1.6681034801864625,0.50336
16,1.6675055596542359,0.51008
17,1.6683049493026734,0.51348
18,1.6666782386779786,0.51808
19,1.66131016582489,0.52246
20,1.6653370484924317,0.5225
21,1.6660836159133912,0.52852
22,1.6645012903594971,0.53148
23,1.6659347385787964,0.53516
24,1.6665800584793091,0.5367
25,1.6695095125961303,0.53724
26,1.6739355437469483,0.5415
27,1.676684615058899,0.54306
28,1.6803014945602417,0.54306
29,1.6846887995529174,0.54742
30,1.6873880987167358,0.54534
31,1.69035517742157,0.5505
32,1.6953579343414307,0.55094
33,1.6972883264160157,0.54916
34,1.7001043218231202,0.5556
35,1.7059513963317872,0.55548
36,1.706062000427246,0.55874
37,1.713889607963562,0.557
38,1.7165572792053223,0.55894
39,1.7231843384933472,0.55762
40,1.7251237502288819,0.56158
41,1.7310936837768556,0.56154
42,1.7370580975723267,0.5614
43,1.738551841316223,0.56354
44,1.7452591709899903,0.56198
45,1.7479287622833253,0.56564
46,1.752859941291809,0.56644
47,1.759875252532959,0.56386
48,1.7647219162368775,0.56614
49,1.7686338061141968,0.56558
50,1.7730252848052979,0.56422
51,1.7763764395141601,0.56904
52,1.7848019636154175,0.5668
53,1.7897175748443603,0.56826
54,1.7945642237854005,0.5693
55,1.7967644860076903,0.56994
56,1.8051300947952271,0.57152
57,1.8100909385681152,0.57034
58,1.8133355534362794,0.5704
59,1.8198121755599976,0.5729
60,1.8256869248580934,0.5668
61,1.8281795669555665,0.57314
62,1.8343782819747925,0.57052
63,1.8374005968856812,0.57132
64,1.8441299736785888,0.5706
65,1.8485630515670777,0.5737
66,1.8520946276474,0.57204
67,1.8575229774475097,0.57312
68,1.8605133937835694,0.57442
69,1.8692772839736937,0.57348
70,1.8716020880889892,0.5729
71,1.8775964694213867,0.57522
72,1.8839897461700439,0.57446
73,1.8875609846115113,0.5745
74,1.8914297521591186,0.57488
75,1.8973919013214111,0.57674
76,1.9022004805374146,0.5744
77,1.9051992569732665,0.57538
78,1.909438699645996,0.57718
79,1.9156995471191407,0.57476
80,1.9182391674423218,0.57718
81,1.924045488319397,0.57528
82,1.9266526890945435,0.57962
83,1.933061886138916,0.57768
84,1.9383006091690063,0.57774
85,1.943985786705017,0.57772
86,1.947565513191223,0.5762
87,1.9517875884246827,0.57794
88,1.9537743127441407,0.581
89,1.9615028105163574,0.57784
90,1.964661688117981,0.57852
91,1.9700249435424804,0.57812
92,1.9744410549545288,0.57872
93,1.9791682232666015,0.57778
94,1.9819741423416137,0.58034
95,1.9850287304306031,0.58098
96,1.9905867669677735,0.58054
97,1.9963816218566894,0.57866
98,2.001117413635254,0.57858
99,2.0049786123275757,0.57896
100,2.00833205947876,0.58038
101,1.9502917350387574,0.64684
102,1.9335343348312377,0.67294
103,1.930261259765625,0.68146
104,1.9303890612792969,0.68876
105,1.931613389968872,0.69434
106,1.923854819946289,0.7053
107,1.9257115141296386,0.71206
108,1.9296354973602294,0.71542
109,1.9336234671020507,0.71584
110,1.9378534329223633,0.7186
