Epoch,Train_Loss,Train_Accuracy
1,2.5197786305999754,0.17126
2,2.113189473953247,0.21858
3,2.0490485527038573,0.25456
4,2.000204853210449,0.27982
5,1.9571705123138428,0.29646
6,1.9260959198379517,0.31578
7,1.8948381597137451,0.337
8,1.865620230064392,0.3551
9,1.8323783087921142,0.37736
10,1.8036833240127563,0.39466
11,1.7767993922042846,0.41246
12,1.7589366540527345,0.43038
13,1.7430351781463622,0.43892
14,1.7303849375915528,0.45724
15,1.7186018616104126,0.46412
16,1.708282498855591,0.46996
17,1.7023464340209962,0.4796
18,1.6941534274291992,0.4871
19,1.6912971424102783,0.49538
20,1.6885498474884033,0.49432
21,1.684930403137207,0.50496
22,1.687425692176819,0.50842
23,1.6896744591903687,0.51112
24,1.688496359100342,0.51394
25,1.6935058921432495,0.51662
26,1.6927855644989014,0.51946
27,1.692120869064331,0.52372
28,1.6953267443084716,0.5237
29,1.6939835485458374,0.52682
30,1.6961014735794067,0.53232
31,1.7023333617782592,0.5311
32,1.7055418958282471,0.53496
33,1.708314162940979,0.53408
34,1.7166147863769532,0.53466
35,1.7208848197174071,0.53662
36,1.72009359664917,0.5388
37,1.7287858254241943,0.538
38,1.7329680168151855,0.54128
39,1.7360884351348878,0.54334
40,1.740791972541809,0.54328
41,1.7461128187179566,0.54414
42,1.7495765314865113,0.54524
43,1.7555759678649903,0.54582
44,1.7560999797439576,0.54904
45,1.7593234369277955,0.54968
46,1.764513954925537,0.54754
47,1.76999608543396,0.5494
48,1.7732229158020019,0.55278
49,1.7786571563339233,0.55288
50,1.784440012512207,0.5524
51,1.7865664954376221,0.55552
52,1.7915816012191772,0.55796
53,1.7958132250213623,0.55536
54,1.8012678561401367,0.55818
55,1.8055183136367798,0.55754
56,1.8098759016418458,0.5578
57,1.8170328799057007,0.56006
58,1.818441506576538,0.55872
59,1.8241434028625487,0.55942
60,1.8277597430419923,0.5619
61,1.834161184272766,0.56238
62,1.833965007019043,0.56338
63,1.84344924118042,0.5651
64,1.8447209311676025,0.56628
65,1.8526109078216553,0.56312
66,1.8567036137771606,0.56542
67,1.8637618258285522,0.56528
68,1.8656387759399413,0.56508
69,1.8718200518798829,0.56588
70,1.8741984795379638,0.56798
71,1.8793527450180054,0.56756
72,1.8842407744216918,0.566
73,1.888444374923706,0.56812
74,1.8934207611846925,0.56832
75,1.8987522030639647,0.56914
76,1.9044165550231933,0.56856
77,1.9094456154632569,0.56924
78,1.9120794580841065,0.56836
79,1.919157787361145,0.56834
80,1.9230385820770264,0.56958
81,1.926957685623169,0.57062
82,1.9317710696411132,0.5716
83,1.9353358503341676,0.57618
84,1.9402413432693482,0.57042
85,1.9446119519424439,0.57154
86,1.9497671862030028,0.57244
87,1.9565859411239623,0.57078
88,1.9575319672775269,0.57164
89,1.9629457512664794,0.57382
90,1.96716899974823,0.57502
91,1.9717666048431397,0.57122
92,1.974917949256897,0.57478
93,1.9815023502349853,0.5745
94,1.9844060509490966,0.57552
95,1.9909128809356689,0.57148
96,1.9940205912780762,0.57338
97,1.997123817024231,0.5765
98,2.0021161431884766,0.57648
99,2.0072729246139525,0.57568
100,2.0128909592437743,0.5727
101,1.9559486783218383,0.6391
102,1.9388936476898193,0.66476
103,1.9358941757202148,0.67302
104,1.934970954360962,0.68224
105,1.9366792571640015,0.6865
106,1.9301106296539308,0.7025
107,1.9312502767181396,0.70498
108,1.9350339051818848,0.70982
109,1.9392906517791748,0.71024
110,1.9444373767089844,0.71082
