Epoch,Train_Loss,Train_Accuracy
1,2.1378572560882567,0.22552
2,1.9314117365264893,0.30336
3,1.8645056336212158,0.33884
4,1.8066491553497315,0.37092
5,1.7636363656234741,0.39722
6,1.7347052962493896,0.4225
7,1.71246836517334,0.4369
8,1.6981617512512206,0.45268
9,1.6815505130004882,0.46544
10,1.6759592457962036,0.4762
11,1.6696068878555297,0.482
12,1.6657331827545165,0.49534
13,1.6644908847045898,0.49386
14,1.6615616319656372,0.50652
15,1.6625046132278443,0.50818
16,1.6606997509765624,0.51274
17,1.6586882931518554,0.51746
18,1.6595683605957032,0.51972
19,1.664491103630066,0.52436
20,1.6653791653060912,0.52424
21,1.6663651961135864,0.5288
22,1.6703111882019044,0.53302
23,1.678574208869934,0.53464
24,1.6786310385131835,0.5372
25,1.6859234210205079,0.54028
26,1.6887260942459106,0.5399
27,1.6912154567337037,0.54404
28,1.6965578726196289,0.54216
29,1.7007125138854982,0.54564
30,1.706827063446045,0.5495
31,1.7120517217254638,0.55016
32,1.7207519118118286,0.55048
33,1.723615726699829,0.55002
34,1.7331288552093507,0.55104
35,1.738143762626648,0.5512
36,1.7404372037506104,0.55532
37,1.7472808662414552,0.5542
38,1.7515896611785888,0.55918
39,1.7577378159332275,0.55632
40,1.7656392855834961,0.5562
41,1.772859645614624,0.55852
42,1.779652617073059,0.55724
43,1.7867527631378173,0.55754
44,1.7900505559921265,0.56072
45,1.7978158485794067,0.56158
46,1.8018478992080689,0.56096
47,1.807302590560913,0.5622
48,1.8131312158966064,0.5628
49,1.8187523295974732,0.56314
50,1.8257184813308716,0.56194
51,1.8300735773468018,0.5645
52,1.8372079207611085,0.56884
53,1.8408383352661133,0.56716
54,1.8457227923583985,0.56736
55,1.8525021294403077,0.5669
56,1.8583856929016114,0.56676
57,1.8657478689956666,0.56776
58,1.8706182050704956,0.56748
59,1.8761871855545045,0.56748
60,1.8814942665863037,0.57048
61,1.8878679997634888,0.5688
62,1.892717015991211,0.5685
63,1.9008700552749633,0.57016
64,1.9039698455047607,0.5715
65,1.912352989463806,0.56744
66,1.9167139061355591,0.57058
67,1.9231447353363038,0.57094
68,1.9278327795410157,0.5722
69,1.9339474151229858,0.57256
70,1.9377469689559936,0.575
71,1.9436946421432495,0.57394
72,1.949772906265259,0.57404
73,1.9523879614257813,0.57792
74,1.9594160712432862,0.57522
75,1.9663991819381714,0.57234
76,1.9710739561080932,0.57182
77,1.9774810095214843,0.57288
78,1.9812852661132812,0.57486
79,1.9878272608947753,0.57342
80,1.9923986073303224,0.57612
81,1.998371566543579,0.57496
82,2.0025390030288697,0.5742
83,2.00823159034729,0.57782
84,2.013311837158203,0.57562
85,2.018480622177124,0.5755
86,2.0243692974853515,0.5734
87,2.0291276068878172,0.57346
88,2.0323987296295165,0.57594
89,2.037108928375244,0.58032
90,2.0430719551086427,0.57836
91,2.0484990771484375,0.57504
92,2.0520923260498045,0.57656
93,2.0573181711578368,0.57628
94,2.061559229736328,0.57868
95,2.067136942062378,0.57848
96,2.071208575592041,0.57702
97,2.0751292458343507,0.58
98,2.0813458686065673,0.58078
99,2.0851825536346436,0.57656
100,2.0904076530456543,0.57836
101,2.0499907675170896,0.6447
102,2.0401551918029783,0.6659
103,2.039836066131592,0.67592
104,2.0407311947631834,0.6852
105,2.0436417112731933,0.68946
106,2.040739286956787,0.70392
107,2.0438890186309813,0.70756
108,2.0485343395996094,0.70912
109,2.0534997264862063,0.71122
110,2.0587341822052,0.71094
