Epoch,Train_Loss,Train_Accuracy
1,2.5028987270355225,0.1958
2,2.0305242739868166,0.2611
3,1.9707032652282714,0.29254
4,1.9246688018798828,0.3156
5,1.8802475882720948,0.3397
6,1.8405662926483155,0.36446
7,1.8076633580780028,0.38368
8,1.7776608098602296,0.40356
9,1.7517396069717408,0.42196
10,1.7303125062179565,0.44124
11,1.7131569923400878,0.44834
12,1.7012073250579833,0.46518
13,1.6952684954071044,0.47034
14,1.686049384880066,0.48304
15,1.680962425880432,0.48936
16,1.674931774597168,0.4935
17,1.6695524681854248,0.50072
18,1.6683653815460204,0.50576
19,1.6675501865768432,0.5107
20,1.6642235734558106,0.51088
21,1.6638474899291993,0.51828
22,1.666631308670044,0.52168
23,1.6699122932052612,0.5224
24,1.6673004372024536,0.52756
25,1.6730661028671265,0.53078
26,1.6745074103546143,0.5332
27,1.6768826041030884,0.53542
28,1.6834285794448853,0.53306
29,1.6831511558151244,0.53784
30,1.6872259044647218,0.54002
31,1.693025645828247,0.54046
32,1.6960131658554076,0.54528
33,1.6994282675933838,0.5422
34,1.707736018447876,0.54302
35,1.7097334144592284,0.54518
36,1.711729520187378,0.548
37,1.7145903108215332,0.54816
38,1.719930223350525,0.55044
39,1.7236731293487548,0.55062
40,1.7296984772109985,0.55036
41,1.734992647781372,0.55278
42,1.739715269012451,0.55292
43,1.7447961167907715,0.55316
44,1.7472525559997558,0.55656
45,1.7549142087554932,0.5551
46,1.7556534085083009,0.55312
47,1.7614344339370727,0.55952
48,1.7676866654586791,0.55726
49,1.7720904515838622,0.55708
50,1.7781000148391723,0.55682
51,1.7821974731063843,0.55878
52,1.7879832730102538,0.56216
53,1.790301907272339,0.55958
54,1.795832595024109,0.5625
55,1.8005469474792481,0.5625
56,1.8070889041137694,0.56042
57,1.8116285671234131,0.56426
58,1.8166356652450562,0.56154
59,1.822802046585083,0.56196
60,1.8261716473007201,0.56504
61,1.8330298331069945,0.56496
62,1.8341894678115844,0.5643
63,1.8423622941970825,0.56512
64,1.8428782905960084,0.56806
65,1.8504844903182984,0.56424
66,1.8549414654541017,0.56732
67,1.8589870874023438,0.56732
68,1.8645957116699219,0.56688
69,1.8691027174377441,0.56836
70,1.8723800610351562,0.57024
71,1.8786164167404176,0.56884
72,1.883694543952942,0.57034
73,1.8867624082565309,0.5728
74,1.8934259049987794,0.57208
75,1.8991786418151855,0.57028
76,1.9040866653442383,0.56722
77,1.908780592880249,0.56996
78,1.9116887545776367,0.57412
79,1.9163390272521972,0.57252
80,1.9219989336013794,0.57136
81,1.925834585876465,0.57356
82,1.929700090751648,0.57398
83,1.934149500579834,0.57656
84,1.9397438890075684,0.57282
85,1.9439013153457643,0.5749
86,1.949551520652771,0.5739
87,1.9546155181121827,0.57142
88,1.956637982597351,0.57158
89,1.9617725193786621,0.5768
90,1.9670149385452271,0.57534
91,1.970659259338379,0.57352
92,1.9747534705734253,0.57342
93,1.9804976136779786,0.57436
94,1.9844630868530273,0.57596
95,1.9886228860473634,0.57366
96,1.9927250695800782,0.57582
97,1.9957418114852905,0.5773
98,2.001386667327881,0.5772
99,2.007250355873108,0.5727
100,2.012112534790039,0.5774
101,1.955045803413391,0.64322
102,1.940724467201233,0.6654
103,1.937620640411377,0.67298
104,1.9367236709976197,0.68178
105,1.938444072036743,0.68424
106,1.9320887126922608,0.70074
107,1.9335778651809692,0.70494
108,1.9381372505950927,0.7062
109,1.9421085778427123,0.70894
110,1.947988084602356,0.70858
