Epoch,Train_Loss,Train_Accuracy
1,4.296158293380738,0.0534
2,3.9491777417755127,0.101
3,3.7821023292541502,0.12776
4,3.6613879609680176,0.15412
5,3.5597858451843263,0.17892
6,3.482079336395264,0.19498
7,3.414713457183838,0.21248
8,3.368354970397949,0.2265
9,3.339101870498657,0.23452
10,3.3171137141418456,0.24618
11,3.297869751815796,0.25246
12,3.286752149658203,0.26264
13,3.276325981903076,0.2674
14,3.272690418395996,0.27452
15,3.2667998963928224,0.2807
16,3.27432946937561,0.28316
17,3.2756972426605224,0.28948
18,3.273113439102173,0.2931
19,3.2815225106048582,0.29512
20,3.286259810180664,0.30156
21,3.294192414016724,0.30288
22,3.302196673965454,0.30744
23,3.311923204650879,0.3104
24,3.3209402421569822,0.31188
25,3.33221583732605,0.31462
26,3.3462752040863037,0.31684
27,3.3571844203948973,0.3184
28,3.3653680727386472,0.3225
29,3.3867954731750487,0.32074
30,3.397135111923218,0.32308
31,3.41204551651001,0.3237
32,3.422972013092041,0.33006
33,3.438092194366455,0.32846
34,3.4507446383666993,0.33206
35,3.464152077484131,0.33266
36,3.484901445617676,0.33174
37,3.4973805023956297,0.33542
38,3.5099549796295166,0.33574
39,3.5267706148529054,0.33692
40,3.540218013534546,0.3376
41,3.5559346948242188,0.339
42,3.5700614294433595,0.34082
43,3.58374301109314,0.34
44,3.6000152546691893,0.3423
45,3.618089149093628,0.3447
46,3.631124989776611,0.34354
47,3.645637586135864,0.34458
48,3.660242254257202,0.34614
49,3.6774077711486814,0.34686
50,3.6893337614440918,0.34798
51,3.707397232055664,0.3491
52,3.721707937698364,0.3486
53,3.736819256973267,0.34956
54,3.7513657458496095,0.3497
55,3.7664218327331542,0.35164
56,3.782657989807129,0.35144
57,3.7962781051635743,0.3532
58,3.814411915512085,0.35258
59,3.8273710943603514,0.35416
60,3.8424155321502687,0.35178
61,3.8576274284362793,0.35546
62,3.8736008963775634,0.3566
63,3.8881759335327146,0.35436
64,3.903252052307129,0.35714
65,3.9148822480773924,0.35812
66,3.9292390363311767,0.35718
67,3.9424730325317383,0.35824
68,3.9581051417541504,0.3588
69,3.9710149661254883,0.3602
70,3.984237752685547,0.36084
71,3.9990996528625486,0.36022
72,4.012566193847657,0.36046
73,4.028269263763428,0.35802
74,4.040046870422363,0.36064
75,4.052406297454834,0.36268
76,4.068333235931396,0.3611
77,4.080339882202148,0.3625
78,4.091339759521484,0.36344
79,4.1056690071105955,0.3649
80,4.118819710235596,0.36464
81,4.131643992462158,0.36406
82,4.144655748901367,0.36308
83,4.1564430862426756,0.3667
84,4.169070452728271,0.36566
85,4.181374797821045,0.36724
86,4.192056237487793,0.36718
87,4.206452904815674,0.36726
88,4.217490638122559,0.36668
89,4.230726806335449,0.36682
90,4.239491796722412,0.37248
91,4.251951929626465,0.3697
92,4.264618593597412,0.37088
93,4.274692506713867,0.37464
94,4.2869147605896,0.3722
95,4.2995371185302735,0.36942
96,4.308972432403564,0.37328
97,4.3209946473693845,0.37132
98,4.330174247894287,0.37324
99,4.341487869110107,0.37426
100,4.351135276794434,0.3773
101,4.305757895965576,0.46016
102,4.296665491333008,0.49554
103,4.300189588928222,0.51502
104,4.307397611236572,0.52484
105,4.315207755584717,0.53814
106,4.317424845733642,0.56184
107,4.329068903503418,0.56696
108,4.341499697418213,0.5698
109,4.3544806640625,0.57064
110,4.367118963317871,0.57166
